2025-09-29 16:27:24 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 16:28:05 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 16:28:54 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 16:30:27 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 21:36:28 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 21:36:53 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 21:37:22 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 21:37:30 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 21:37:37 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 21:37:49 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 21:37:56 | INFO     | app.services.trading_bot | stop            | 🛑 Stopping Trading Bot...
2025-09-29 21:37:56 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 21:38:03 | INFO     | app.services.trading_bot | stop            | 🛑 Stopping Trading Bot...
2025-09-29 21:38:03 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 21:38:12 | INFO     | app.services.trading_bot | stop            | 🛑 Stopping Trading Bot...
2025-09-29 21:38:12 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 21:38:19 | INFO     | app.services.trading_bot | stop            | 🛑 Stopping Trading Bot...
2025-09-29 21:38:19 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 21:38:28 | INFO     | app.services.trading_bot | stop            | 🛑 Stopping Trading Bot...
2025-09-29 21:38:28 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 21:38:42 | INFO     | app.services.trading_bot | stop            | 🛑 Stopping Trading Bot...
2025-09-29 21:38:42 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 21:38:52 | INFO     | app.services.trading_bot | stop            | 🛑 Stopping Trading Bot...
2025-09-29 21:38:52 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 21:38:59 | INFO     | app.services.trading_bot | stop            | 🛑 Stopping Trading Bot...
2025-09-29 21:38:59 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 21:39:49 | INFO     | app.services.trading_bot | <module>        | Testing trading bot logging system
2025-09-29 21:39:49 | WARNING  | app.services.trading_bot | <module>        | Warning message test
2025-09-29 21:39:49 | ERROR    | app.services.trading_bot | <module>        | Error message test
2025-09-29 21:41:29 | INFO     | app.services.trading_bot | stop            | 🛑 Stopping Trading Bot...
2025-09-29 21:41:29 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 21:41:55 | INFO     | app.services.trading_bot | stop            | 🛑 Stopping Trading Bot...
2025-09-29 21:41:55 | INFO     | app.services.trading_bot | stop            | 🛑 Trading Bot stopped
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | main            | 🚀 TRADING BOT LOGGING DEMO STARTED
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | main            | 🔧 Initializing Trading Bot services...
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | main            | ✅ Binance service initialized
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | main            | ✅ AI Analyzer ready
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | main            | ✅ Risk Manager ready
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | main            | 🌐 WebSocket Manager ready
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | main            | 🤖 Trading Bot initialized successfully
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | main            | 🌐 WebSocket connected for user 1 | Total users: 1 | Total connections: 1
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | main            | 🌐 WebSocket connected for user 2 | Total users: 2 | Total connections: 3
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | main            | 🌐 WebSocket connected for user 3 | Total users: 3 | Total connections: 4
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | simulate_trading_cycle | 🔄 Starting trading cycle #57 at 21:43:57
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | simulate_trading_cycle | 👥 TRADING CYCLE #57 STATS:
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | simulate_trading_cycle |    📊 Active trading users: 5
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | simulate_trading_cycle |    🌐 Connected users: 5
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | simulate_trading_cycle |    🔌 Total connections: 9
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | simulate_user_analysis | 📊 [User 1] ANALYZING ADAUSDT (Test: Yes)
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | simulate_user_analysis | 🟡 [User 1] AI SIGNAL: HOLD | Confidence: 86.1% | Technical indicators suggest hold signal with 86.1% confidence
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | simulate_user_analysis | 📊 [User 2] ANALYZING ADAUSDT (Test: No)
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | simulate_user_analysis | 🟡 [User 2] AI SIGNAL: HOLD | Confidence: 62.9% | Technical indicators suggest hold signal with 62.9% confidence
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | simulate_user_analysis | 📊 [User 3] ANALYZING ADAUSDT (Test: Yes)
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | simulate_user_analysis | 🟢 [User 3] AI SIGNAL: BUY | Confidence: 81.5% | Technical indicators suggest buy signal with 81.5% confidence
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | simulate_trade_execution | 💰 [User 3] Available USDT balance: $1184.26
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | simulate_trade_execution | ✅ [User 3] Trade validation PASSED - proceeding to execution
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | simulate_trade_execution | 📋 [User 3] Trade params: Size=$107.70, Position=$0.036288
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | simulate_trade_execution | 🚀 [User 3] EXECUTING TRADE:
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | simulate_trade_execution |    📊 Symbol: ADAUSDT
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | simulate_trade_execution |    📈 Side: BUY
2025-09-29 21:43:57 | INFO     | app.services.trading_bot | simulate_trade_execution |    💰 Quantity: 0.036288
